time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.051250000000000004,0.10250000000000001,0.051500000000000004,5.125,10.25,5.15,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.10322468750000001,0.20644937500000002,0.10396955000000002,5.1974687500000005,10.394937500000001,5.246955000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.15590382195312502,0.31180764390625004,0.15738321363500002,5.2679134453125,10.535826890625,5.341366363500001,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.2092671891062305,0.418534378212461,0.21171552566955953,5.336336715310547,10.672673430621094,5.433231203455951,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.2632946057905283,0.5265892115810566,0.26694099992607256,5.402741668429785,10.80548333685957,5.522547425651305,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.31796592465653556,0.6359318493130711,0.32303413714004264,5.467131886600725,10.93426377320145,5.609313721397009,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.3732610388527186,0.7465220777054372,0.37996943274073103,5.529511419618304,11.059022839236608,5.693529560068838,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.42915988664722665,0.8583197732944533,0.4377213845555903,5.589884779450803,11.179769558901606,5.775195181485928,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.4856424559921278,0.9712849119842556,0.4962645004369343,5.648256934490114,11.296513868980227,5.854311588134401,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.542688789029582,1.085377578059164,0.5555733058093338,5.70463330374541,11.40926660749082,5.930880537239949,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.6002789865394041,1.2005579730788083,0.6156223511362665,5.759019750982215,11.51803950196443,6.004904532693269,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.6583932123274933,1.3167864246549865,0.676386219304589,5.811422578808909,11.622845157617817,6.076386816832248,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.7170116975546196,1.4340233951092392,0.7378395329254369,5.861848522712632,11.723697045425263,6.145331362084789,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.776114745005086,1.552229490010172,0.7999569615501987,5.91030474504664,11.82060949009328,6.211742862476178,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.8356827332947965,1.671365466589593,0.8627132288002478,5.956798828971047,11.913597657942095,6.27562672500491,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.8956961210182861,1.7913922420365722,0.9260831194091563,6.001338772348967,12.002677544697933,6.336989060890854,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.9561354508342863,1.9122709016685726,0.9900414861761531,6.04393298160002,12.08786596320004,6.395836676699671,0.0,0.0,0.0,0.0,0.0,0.0
0.18,1.0169813534894179,2.0339627069788357,1.054563256829627,6.084590265513163,12.169180531026326,6.4521770653473896,0.0,0.0,0.0,0.0,0.0,0.0
0.19,1.0782145517796258,2.1564291035592515,1.1196234407995174,6.1233198290207955,12.246639658041591,6.5060183969890275,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.1398158644489866,2.2796317288979733,1.185197135897469,6.160131266936097,12.320262533872194,6.557369509795151,0.0,0.0,0.0,0.0,0.0,0.0
0.21,1.2017662100255417,2.4035324200510835,1.2512595349036717,6.195034557655512,12.390069115311023,6.606239900620276,0.0,0.0,0.0,0.0,0.0,0.0
0.22,1.2640466105938248,2.5280932211876497,1.3177859320593412,6.228040056828318,12.456080113656636,6.652639715566963,0.0,0.0,0.0,0.0,0.0,0.0
0.23,1.3266381955037767,2.6532763910075534,1.3847517294638363,6.25915849099519,12.51831698199038,6.696579740449513,0.0,0.0,0.0,0.0,0.0,0.0
0.24,1.3895222050157532,2.7790444100315064,1.4521324433754472,6.2884009511976435,12.576801902395287,6.738071391161103,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1.452679993881356,2.905359987762712,1.5199037104149296,6.315778886560273,12.631557773120546,6.7771267039482295,0.0,0.0,0.0,0.0,0.0,0.0
0.26,1.5160930348598323,3.0321860697196645,1.5880412936708925,6.341304097847637,12.682608195695273,6.813758325596299,0.0,0.0,0.0,0.0,0.0,0.0
0.27,1.579742922169809,3.159485844339618,1.6565210887061945,6.3649887309976645,12.729977461995329,6.84797950353021,0.0,0.0,0.0,0.0,0.0,0.0
0.28,1.6436113748761434,3.287222749752287,1.7253191294645318,6.386845270633442,12.773690541266884,6.879804075833722,0.0,0.0,0.0,0.0,0.0,0.0
0.29,1.7076802402116955,3.415360480423391,1.7944115940764462,6.406886533555204,12.813773067110407,6.909246461191449,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1.771931496833839,3.543862993667678,1.8637748105640186,6.425125662214359,12.850251324428719,6.936321648757241,0.0,0.0,0.0,0.0,0.0,0.0
0.31,1.8363472580155529,3.6726945160311057,1.9333852624435461,6.44157611817137,12.88315223634274,6.961045187952748,0.0,0.0,0.0,0.0,0.0,0.0
0.32,1.9009097747709456,3.801819549541891,2.0032195942255453,6.456251675539268,12.912503351078536,6.983433178199914,0.0,0.0,0.0,0.0,0.0,0.0
0.33,1.9656014389150915,3.931202877830183,2.073254616811457,6.469166414414602,12.938332828829203,7.003502258591149,0.0,0.0,0.0,0.0,0.0,0.0
0.34,2.0304047860580674,4.060809572116135,2.143467312786466,6.4803347142975785,12.960669428595157,7.021269597500893,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,2.095302498533099,4.190604997066198,2.2138348416078886,6.489771247503151,12.979542495006301,7.036752882142291,0.0,0.0,0.0,0.0,0.0,0.0
0.36,2.160277408258747,4.320554816517494,2.284334544688615,6.497490972564791,12.994981945129583,7.0499703080726315,0.0,0.0,0.0,0.0,0.0,0.0
0.37,2.225312499535074,4.450624999070148,2.3549439503751275,6.503509127632674,13.007018255265349,7.0609405686512465,0.0,0.0,0.0,0.0,0.0,0.0
0.38,2.2903909117737538,4.5807818235475075,2.425640778819662,6.50784122386797,13.01568244773594,7.06968284445348,0.0,0.0,0.0,0.0,0.0,0.0
0.39,2.3554959421621033,4.710991884324207,2.4964029467461057,6.510503038834947,13.021006077669893,7.076216792644355,0.0,0.0,0.0,0.0,0.0,0.0
0.4,2.4206110482610286,4.841222096522057,2.5672085721092612,6.511510609892545,13.02302121978509,7.0805625363155285,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,2.4857198505368996,4.971439701073799,2.638035978647152,6.510880227587094,13.021760455174189,7.082740653789095,0.0,0.0,0.0,0.0,0.0,0.0
0.42,2.5508061348273774,5.101612269654755,2.70886370032607,6.508628429047801,13.017256858095601,7.08277216789179,0.0,0.0,0.0,0.0,0.0,0.0
0.43,2.615853854741244,5.231707709482488,2.779670485678101,6.504771991386638,13.009543982773277,7.08067853520309,0.0,0.0,0.0,0.0,0.0,0.0
0.44,2.6808471339922866,5.361694267984573,2.8504353020309083,6.49932792510424,12.99865585020848,7.076481635280715,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.7457702686673207,5.491540537334641,2.921137339629578,6.492313467503391,12.984626935006782,7.070203759866981,0.0,0.0,0.0,0.0,0.0,0.0
0.46,2.8106077294284373,5.621215458856875,2.991756015650372,6.483746076111673,12.967492152223347,7.061867602079424,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,2.8753441636495856,5.750688327299171,3.0622709781062634,6.473643422114846,12.947286844229692,7.051496245589119,0.0,0.0,0.0,0.0,0.0,0.0
0.48,2.93996439748761,5.87992879497522,3.132662109644164,6.4620233838024586,12.924046767604917,7.03911315379004,0.0,0.0,0.0,0.0,0.0,0.0
0.49,3.0044534378878827,6.008906875775765,3.202909531233792,6.4489040400272435,12.897808080054487,7.024742158962814,0.0,0.0,0.0,0.0,0.0,0.0
0.5,3.0687964745246803,6.137592949049361,3.272993605748154,6.434303663679774,12.868607327359548,7.008407451436172,0.0,0.0,0.0,0.0,0.0,0.0
0.51,3.132978881676479,6.265957763352958,3.3428949414356475,6.418240715179859,12.836481430359719,6.990133568749366,0.0,0.0,0.0,0.0,0.0,0.0
0.52,3.1969862200363406,6.393972440072681,3.4125943952838353,6.4007338359861485,12.801467671972297,6.969945384818803,0.0,0.0,0.0,0.0,0.0,0.0
0.53,3.2608042384575944,6.521608476915189,3.4820730762749563,6.381801842125379,12.763603684250757,6.9478680991121,0.0,0.0,0.0,0.0,0.0,0.0
0.54,3.324418875635021,6.648837751270042,3.551312348533284,6.361463717742685,12.72292743548537,6.92392722583273,0.0,0.0,0.0,0.0,0.0,0.0
0.55,3.387816261721765,6.77563252344353,3.620293834364468,6.339738608674383,12.679477217348767,6.898148583118404,0.0,0.0,0.0,0.0,0.0,0.0
0.56,3.450982719882211,6.901965439764422,3.6889994171870306,6.316645816044595,12.63329163208919,6.870558282256286,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,3.513904767781082,7.027809535562164,3.7574112443562115,6.292204789887093,12.584409579774187,6.841182716918112,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.5765691190090187,7.1531382380180375,3.825511729880394,6.266435122793696,12.532870245587391,6.810048552418245,0.0,0.0,0.0,0.0,0.0,0.0
0.59,3.638962684444924,7.277925368889848,3.8932835570303705,6.239356543590533,12.478713087181067,6.77718271499765,0.0,0.0,0.0,0.0,0.0,0.0
0.6,3.701072573555359,7.402145147110718,3.960709680841738,6.210988911043505,12.42197782208701,6.742612381136762,0.0,0.0,0.0,0.0,0.0,0.0
0.61,3.762886095631301,7.525772191262602,4.0277733305107395,6.181352207594186,12.362704415188372,6.706364966900143,0.0,0.0,0.0,0.0,0.0,0.0
0.62,3.824390760962576,7.648781521925152,4.094458011683898,6.150466533127461,12.300933066254922,6.668468117315819,0.0,0.0,0.0,0.0,0.0,0.0
0.63,3.885574281950297,7.771148563900594,4.160747508641819,6.118352098772122,12.236704197544244,6.628949695792144,0.0,0.0,0.0,0.0,0.0,0.0
0.64,3.9464245741576534,7.892849148315307,4.226625886377569,6.085029220735644,12.170058441471287,6.587837773574968,0.0,0.0,0.0,0.0,0.0,0.0
0.65,4.006929757299397,8.013859514598794,4.292077492570048,6.0505183141743455,12.101036628348691,6.545160619247891,0.0,0.0,0.0,0.0,0.0,0.0
0.66,4.067078156170398,8.134156312340796,4.357086959452831,6.014839887100117,12.029679774200234,6.500946688278311,0.0,0.0,0.0,0.0,0.0,0.0
0.67,4.126858301513646,8.253716603027293,4.42163920557895,5.978014534324856,11.956029068649713,6.455224612611943,0.0,0.0,0.0,0.0,0.0,0.0
0.68,4.186258930828084,8.372517861656169,4.4857194374821345,5.940062931443767,11.880125862887533,6.408023190318455,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,4.245268989116671,8.490537978233341,4.549313151235043,5.901005828858627,11.802011657717253,6.359371375290807,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,4.303877629575092,8.607755259150183,4.6124061339050515,5.860864045842124,11.721728091684248,6.309298267000847,0.0,0.0,0.0,0.0,0.0,0.0
0.71,4.3620742142215345,8.724148428443069,4.674984464908189,5.819658464644326,11.639316929288652,6.257833100313687,0.0,0.0,0.0,0.0,0.0,0.0
0.72,4.419848314467958,8.839696628935917,4.737034517261821,5.777410024642345,11.55482004928469,6.205005235363304,0.0,0.0,0.0,0.0,0.0,0.0
0.73,4.477189711633301,8.954379423266602,4.798542958736739,5.734139716534222,11.468279433068444,6.150844147491816,0.0,0.0,0.0,0.0,0.0,0.0
0.74,4.534088397399081,9.068176794798163,4.859496752909287,5.689868576578047,11.379737153156094,6.095379417254796,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.5905345742078545,9.181069148415709,4.919883160114237,5.64461768087729,11.28923536175458,6.03864072049497,0.0,0.0,0.0,0.0,0.0,0.0
0.76,4.646518655604988,9.293037311209975,4.979689738299103,5.59840813971332,11.19681627942664,5.980657818486593,0.0,0.0,0.0,0.0,0.0,0.0
0.77,4.702031266524248,9.404062533048496,5.038904343780631,5.5512610919260625,11.102522183852125,5.921460548152754,0.0,0.0,0.0,0.0,0.0,0.0
0.78,4.757063243517685,9.51412648703537,5.097515131904209,5.503197699343696,11.006395398687392,5.861078812357807,0.0,0.0,0.0,0.0,0.0,0.0
0.79,4.811605634930308,9.623211269860615,5.15551055760698,5.454239141262317,10.908478282524634,5.799542570277103,0.0,0.0,0.0,0.0,0.0,0.0
